StudentId,CourseId,Section no,seat no
74,129,2,1
74,64,1,2
75,72,1,2
75,85,1,1
75,147,2,3
75,134,1,2
76,136,1,1
76,121,2,1
76,132,2,1
76,54,1,1
77,13,1,1
77,131,2,1
77,144,2,1
78,92,1,2
78,50,2,2
78,71,2,1
78,101,1,3
79,67,1,3
79,145,2,2
79,40,2,1
79,14,1,3
80,133,1,2
80,67,1,4
80,1,2,2
80,75,1,2
81,69,2,1
81,144,2,2
81,46,2,3
82,35,2,1
82,53,1,1
82,143,1,2
83,146,1,2
83,68,1,1
83,45,1,2
84,137,1,1
84,2,2,2
84,72,1,3
85,112,1,1
85,79,2,1
85,99,1,1
86,133,2,1
86,24,1,3
86,107,2,2
87,71,1,1
87,63,2,1
87,42,1,2
88,110,2,2
88,42,2,2
88,128,2,1
89,14,1,4
89,43,2,1
89,75,2,1
90,109,1,2
90,69,1,1
90,75,2,2
91,48,1,2
91,129,1,2
91,34,2,1
92,8,2,1
92,91,2,2
92,115,1,1
93,6,1,2
93,41,2,1
93,92,1,3
94,97,2,3
94,133,2,2
94,86,1,2
95,34,1,1
95,19,2,1
95,57,1,2
96,67,1,5
96,41,1,2
96,130,2,3
97,63,1,1
97,77,1,2
97,25,1,2
97,122,1,2
98,34,1,2
98,17,1,2
98,53,1,2
98,54,1,2
99,1,1,2
99,12,1,1
99,134,1,3
100,113,2,1
100,29,1,1
100,111,2,2
101,85,2,5
101,135,1,3
101,143,2,2
102,47,2,1
102,71,2,2
102,89,2,2
103,46,2,4
103,52,1,2
103,22,1,3
104,146,2,2
104,65,2,1
104,106,2,4
104,141,2,1
105,149,2,2
105,76,1,2
105,137,1,2
106,58,2,2
106,124,1,1
106,108,1,1
106,68,2,3
107,149,2,3
107,96,2,3
107,46,2,5
108,20,2,2
108,108,2,2
108,14,1,5
109,113,2,2
109,39,2,1
109,109,2,2
110,127,2,3
110,19,1,2
110,132,2,2
111,62,1,2
111,11,2,1
111,99,1,2
112,83,2,4
112,107,2,3
112,75,2,3
113,14,2,1
113,122,2,1
113,49,1,2
114,102,1,1
114,126,2,1
114,110,2,3
114,91,2,3
115,46,2,6
115,111,2,3
115,76,1,3
115,66,1,3
116,9,1,2
116,100,1,3
116,93,1,2
116,17,2,1
117,140,2,2
117,42,1,3
117,133,1,3
118,59,2,1
118,129,2,2
118,50,2,3
119,61,1,2
119,108,1,2
119,37,1,1
120,81,2,3
120,96,1,3
120,97,2,4
120,52,2,1
121,59,2,2
121,76,1,4
121,133,1,4
122,136,1,2
122,50,2,4
122,8,2,2
123,95,2,1
123,127,2,4
123,105,1,3
124,140,2,3
124,63,2,2
124,104,1,1
125,80,2,2
125,125,1,3
125,76,1,5
126,93,1,3
126,59,2,3
126,50,2,5
127,24,1,4
127,51,2,2
127,52,1,3
127,20,1,3
128,2,1,2
128,128,1,1
128,45,1,3
128,112,1,2
129,8,2,3
129,17,2,2
129,37,2,1
130,71,1,2
130,114,2,1
130,58,2,3
130,137,1,3
131,103,1,3
131,107,1,3
131,83,2,5
132,86,2,2
132,148,2,1
132,100,1,4
132,41,1,3
133,67,2,1
133,83,1,3
133,59,1,1
134,23,2,2
134,51,2,3
134,74,1,3
135,113,2,3
135,16,2,2
135,121,1,3
136,143,1,3
136,24,2,2
136,37,1,2
137,139,2,3
137,134,2,1
137,16,2,3
138,119,2,2
138,88,2,1
138,60,1,5
139,117,2,2
139,138,2,2
139,38,2,2
140,134,2,2
140,59,2,4
140,35,1,1
140,76,2,2
141,55,2,1
141,85,1,2
141,141,1,2
141,125,1,4
142,30,1,1
142,70,1,1
142,27,2,1
143,3,1,1
143,97,1,1
143,67,1,6
144,77,2,2
144,101,2,3
144,78,1,1
145,126,1,1
145,22,1,4
145,95,1,2
146,126,1,2
146,116,1,1
146,115,2,3
147,75,1,3
147,76,1,6
147,17,2,3
148,81,1,1
148,32,2,2
148,122,1,3
149,116,1,2
149,103,2,3
149,100,2,2
150,129,2,3
150,138,2,3
150,100,2,3
151,72,1,4
151,17,1,3
151,100,2,4
152,39,1,2
152,55,2,2
152,88,1,1
153,120,1,1
153,59,2,5
153,64,2,1
154,111,2,4
154,127,2,5
154,3,2,1
155,84,1,2
155,129,2,4
155,142,1,1
156,55,2,3
156,122,1,4
156,74,2,1
157,135,1,4
157,3,1,2
157,18,2,3
157,81,1,2
158,71,1,3
158,148,2,2
158,106,2,5
158,115,1,2
159,37,2,2
159,49,1,3
159,141,2,2
160,116,2,1
160,51,1,1
160,144,2,3
161,128,1,2
161,144,1,1
161,22,2,3
161,78,2,1
162,111,1,1
162,142,2,3
162,48,1,3
163,18,1,2
163,145,2,3
163,108,1,3
164,142,2,4
164,102,1,2
164,36,2,2
165,133,1,5
165,29,1,2
165,102,1,3
166,110,1,1
166,103,1,4
166,114,1,1
167,40,1,3
167,111,2,5
167,101,1,4
167,38,2,3
168,56,1,1
168,115,1,3
168,84,2,1
168,4,2,2
169,25,1,3
169,42,1,4
169,81,2,4
169,120,2,1
170,65,2,2
170,134,1,4
170,72,1,5
171,22,2,4
171,63,1,2
171,46,1,1
171,77,2,3
172,126,2,2
172,68,1,2
172,112,1,3
173,68,1,3
173,108,2,3
173,107,1,4
173,110,1,2
174,13,2,1
174,22,2,5
174,57,1,3
175,71,2,3
175,87,1,2
175,75,2,4
176,96,1,4
176,98,1,1
176,85,2,6
177,77,2,4
177,1,2,3
177,21,2,2
178,31,2,2
178,85,1,3
178,117,2,3
178,26,2,2
179,23,1,1
179,51,1,2
179,32,2,3
180,92,2,3
180,9,2,1
180,128,2,2
181,74,2,2
181,3,1,3
181,117,1,2
182,121,1,4
182,150,2,3
182,82,1,1
183,120,2,2
183,102,1,4
183,89,1,2
184,2,1,3
184,150,1,1
184,19,2,2
184,141,1,3
185,106,2,6
185,50,2,6
185,22,2,6
186,65,1,1
186,95,2,2
186,93,1,4
186,69,2,2
187,53,2,3
187,148,2,3
187,14,2,2
188,57,2,1
188,27,2,2
188,126,1,3
189,64,2,2
189,67,2,2
189,68,2,4
190,120,1,2
190,149,1,3
190,66,1,4
190,150,1,2
191,18,1,3
191,92,1,4
191,50,2,7
191,51,2,4
192,1,1,3
192,145,2,4
192,122,2,2
193,93,1,5
193,75,1,4
193,141,2,3
194,106,2,7
194,49,2,3
194,86,2,3
195,143,2,3
195,136,1,3
195,15,2,2
195,21,1,2
196,117,2,4
196,17,1,4
196,92,2,4
197,22,2,7
197,79,2,2
197,136,1,4
198,80,1,4
198,105,1,4
198,36,1,1
199,55,2,4
199,45,1,4
199,114,1,2
200,133,2,3
200,132,2,3
200,6,2,2
201,118,1,1
201,100,2,5
201,46,2,7
202,30,2,1
202,142,1,2
202,97,2,5
203,19,2,3
203,14,1,6
203,27,1,2
204,62,2,1
204,3,2,2
204,122,2,3
205,118,1,2
205,111,1,2
205,57,2,2
206,41,1,4
206,78,2,2
206,134,2,3
207,45,1,5
207,131,1,1
207,117,2,5
208,135,1,5
208,57,1,4
208,123,1,4
209,100,2,6
209,34,1,3
209,135,1,6
210,57,2,3
210,5,1,1
210,17,2,4
210,110,2,4
211,15,2,3
211,2,1,4
211,5,2,1
212,99,2,3
212,130,1,2
212,140,1,1
213,39,1,3
213,13,1,2
213,109,1,3
213,4,2,3
214,50,2,8
214,142,2,5
214,26,1,3
215,144,1,2
215,84,2,2
215,14,2,3
216,104,1,2
216,51,2,5
216,75,1,5
217,147,1,1
217,7,2,3
217,40,1,4
217,27,1,3
218,69,2,3
218,53,2,4
218,138,1,3
219,140,1,2
219,19,1,3
219,43,1,1
220,3,1,4
220,52,2,2
220,117,2,6
221,11,2,2
221,90,2,2
221,75,2,5
222,64,1,3
222,58,2,4
222,36,1,2
222,98,1,2
223,131,2,2
223,123,1,5
223,85,2,7
224,56,1,2
224,74,1,4
224,30,2,2
225,121,1,5
225,134,2,4
225,91,2,4
225,110,2,5
226,8,2,4
226,132,2,4
226,130,1,3
226,134,1,5
227,110,1,3
227,108,1,4
227,93,1,6
227,114,1,3
228,23,1,2
228,16,1,2
228,127,1,3
229,145,2,5
229,115,2,4
229,141,2,4
229,97,2,6
230,15,1,2
230,114,1,4
230,54,2,3
231,103,1,5
231,26,2,3
231,108,2,4
232,61,1,3
232,47,1,2
232,71,1,4
233,7,1,1
233,57,1,5
233,94,2,3
234,108,1,5
234,4,2,4
234,147,1,2
234,100,2,7
235,116,2,2
235,89,1,3
235,50,1,2
236,97,1,2
236,89,2,3
236,123,1,6
237,30,2,3
237,5,1,2
237,78,2,3
238,45,1,6
238,53,1,3
238,4,1,2
239,6,1,3
239,82,1,2
239,148,1,2
240,38,1,2
240,21,2,3
240,140,1,3
241,58,2,5
241,33,1,2
241,63,2,3
242,42,1,5
242,23,1,3
242,40,1,5
243,146,2,3
243,109,2,3
243,94,1,2
244,141,1,4
244,53,1,4
244,51,1,3
245,115,1,4
245,111,1,3
245,8,1,2
246,34,2,2
246,3,1,5
246,30,2,4
247,147,2,4
247,39,2,2
247,92,1,5
247,88,1,2
248,117,2,7
248,2,1,5
248,50,2,9
249,141,2,5
249,117,1,3
249,137,1,4
250,13,1,3
250,47,2,2
250,99,1,3
251,121,1,6
251,86,2,4
251,43,2,2
252,103,2,4
252,127,1,4
252,139,1,2
253,22,1,5
253,9,1,3
253,146,1,3
254,98,1,3
254,41,1,5
254,79,1,3
255,100,2,8
255,34,2,3
255,144,1,3
255,72,1,6
256,23,1,4
256,111,1,4
256,90,1,1
256,42,2,3
257,126,2,3
257,103,1,6
257,52,2,3
257,100,1,5
258,53,1,5
258,9,2,2
258,8,1,3
258,25,1,4
259,27,1,4
259,68,1,4
259,89,2,4
260,139,1,3
260,94,2,4
260,79,1,4
261,99,2,4
261,95,2,3
261,54,2,4
262,9,1,4
262,84,1,3
262,39,2,3
263,22,2,8
263,11,2,3
263,40,1,6
264,104,2,3
264,99,2,5
264,7,1,2
265,71,1,5
265,128,2,3
265,149,2,4
265,20,2,3
266,97,2,7
266,44,1,2
266,144,2,4
267,12,1,2
267,19,1,4
267,79,2,3
268,59,2,6
268,26,2,4
268,106,1,1
268,58,1,2
269,36,2,3
269,98,1,4
269,5,1,3
270,88,1,3
270,89,1,4
270,67,2,3
271,40,1,7
271,10,1,3
271,114,1,5
271,147,2,5
272,23,1,5
272,93,2,2
272,141,2,6
273,89,1,5
273,98,2,2
273,125,2,1
274,86,1,3
274,6,2,3
274,10,2,1
275,114,2,2
275,70,1,2
275,21,2,4
276,106,2,8
276,88,1,4
276,62,1,3
276,42,2,4
277,147,1,3
277,111,1,5
277,141,1,5
278,101,2,4
278,48,2,1
278,23,2,3
279,23,2,4
279,15,2,4
279,47,1,3
280,30,1,2
280,108,1,6
280,40,1,8
281,42,2,5
281,115,1,5
281,66,1,5
281,97,1,3
282,67,2,4
282,142,2,6
282,150,1,3
283,99,2,6
283,37,1,3
283,30,1,3
284,108,1,7
284,12,2,2
284,78,1,2
284,18,2,4
285,117,2,8
285,120,1,3
285,72,2,2
286,103,2,5
286,74,2,3
286,73,1,2
287,61,2,2
287,29,1,3
287,101,1,5
288,97,2,8
288,79,2,4
288,116,1,3
289,94,2,5
289,59,2,7
289,97,1,4
289,114,1,6
290,58,1,3
290,95,2,4
290,36,1,3
290,113,2,4
291,12,1,3
291,107,2,4
291,98,2,3
291,59,2,8
292,71,2,4
292,14,2,4
292,144,1,4
293,39,2,4
293,117,1,4
293,88,1,5
293,24,1,5
294,108,1,8
294,49,2,4
294,130,1,4
294,77,2,5
295,106,1,2
295,101,1,6
295,42,2,6
295,119,2,3
296,63,2,4
296,27,1,5
296,48,1,4
297,86,1,4
297,18,1,4
297,15,1,3
298,84,2,3
298,63,2,5
298,116,2,3
298,53,1,6
299,50,1,3
299,130,2,4
299,117,1,5
300,36,1,4
300,33,1,3
300,121,2,2
301,69,2,4
301,115,1,6
301,25,2,1
302,3,2,3
302,29,2,1
302,5,2,2
303,31,1,1
303,51,2,6
303,145,2,6
304,113,2,5
304,108,2,5
304,73,1,3
305,39,1,4
305,107,2,5
305,126,1,4
305,116,2,4
306,6,1,4
306,69,2,5
306,25,2,2
307,71,1,6
307,134,2,5
307,92,2,5
308,113,2,6
308,74,2,4
308,56,1,3
309,61,2,3
309,44,2,1
309,126,2,4
309,80,2,3
310,128,1,3
310,27,1,6
310,99,2,7
311,16,1,3
311,1,2,4
311,8,1,4
312,34,2,4
312,108,1,9
312,135,2,2
313,36,1,5
313,93,2,3
313,7,1,3
314,31,1,2
314,42,1,6
314,54,2,5
315,54,2,6
315,85,1,4
315,43,2,3
316,44,2,2
316,67,2,5
316,133,1,6
317,106,2,9
317,114,2,3
317,56,2,2
317,49,1,4
318,43,2,4
318,48,1,5
318,120,2,3
319,121,1,7
319,122,2,4
319,55,1,2
320,143,2,4
320,55,2,5
320,13,1,4
320,68,2,5
321,94,1,3
321,62,1,4
321,20,2,4
322,115,2,5
322,32,2,4
322,129,2,5
323,46,2,8
323,149,1,4
323,100,1,6
324,81,2,5
324,58,2,6
324,90,1,2
325,78,1,3
325,126,2,5
325,17,1,5
326,72,2,3
326,61,2,4
326,23,1,6
326,33,1,4
327,115,2,6
327,118,1,3
327,120,1,4
328,129,2,6
328,4,2,5
328,15,1,4
329,29,2,2
329,68,2,6
329,63,1,3
330,83,2,6
330,73,2,2
330,80,1,5
331,96,2,4
331,41,1,6
331,27,2,3
332,62,1,5
332,74,1,5
332,111,2,6
332,135,2,3
333,76,1,7
333,44,2,3
333,121,1,8
334,25,2,3
334,149,2,5
334,98,2,4
334,21,1,3
335,142,1,3
335,121,2,3
335,87,1,3
336,59,2,9
336,150,2,4
336,71,2,5
337,21,1,4
337,11,2,4
337,89,1,6
338,87,1,4
338,132,1,3
338,40,2,2
339,46,2,9
339,75,1,6
339,50,2,10
339,56,2,3
340,123,1,7
340,85,2,8
340,14,1,7
340,16,2,4
341,109,2,4
341,120,2,4
341,39,1,5
342,113,1,1
342,135,2,4
342,31,2,3
342,132,2,5
343,104,1,3
343,145,2,7
343,36,1,6
344,136,2,1
344,137,1,5
344,102,2,2
345,37,2,3
345,112,1,4
345,150,1,4
345,59,2,10
346,83,1,4
346,94,2,6
346,122,1,5
347,12,2,3
347,131,1,2
347,145,2,8
348,14,2,5
348,105,2,1
348,5,1,4
349,109,1,4
349,3,1,6
349,94,2,7
350,1,2,5
350,11,2,5
350,78,1,4
351,90,2,3
351,69,2,6
351,42,2,7
352,121,1,9
352,102,2,3
352,89,1,7
353,45,2,2
353,56,2,4
353,8,2,5
353,136,1,5
354,137,2,2
354,75,1,7
354,33,2,2
354,136,1,6
355,45,1,7
355,80,1,6
355,61,1,4
356,142,1,4
356,48,1,6
356,128,1,4
357,41,1,7
357,23,2,5
357,64,2,3
358,111,2,7
358,42,1,7
358,142,1,5
359,126,1,5
359,111,1,6
359,120,2,5
360,77,2,6
360,81,1,3
360,9,2,3
361,1,1,4
361,55,1,3
361,139,2,4
362,110,1,4
362,46,2,10
362,35,1,2
363,14,2,6
363,106,1,3
363,55,1,4
364,142,2,7
364,110,2,6
364,69,2,7
365,41,1,8
365,68,2,7
365,134,2,6
366,133,2,4
366,36,2,4
366,23,1,7
367,58,2,7
367,80,1,7
367,105,2,2
368,52,2,4
368,9,2,4
368,18,2,5
369,119,2,4
369,57,1,6
369,114,2,4
370,116,2,5
370,117,1,6
370,57,1,7
370,67,1,7
371,129,2,7
371,131,2,3
371,121,1,10
372,141,1,6
372,81,1,4
372,87,1,5
373,16,2,5
373,73,2,3
373,36,1,7
373,64,2,4
374,91,1,2
374,144,2,5
374,110,2,7
375,136,1,7
375,130,1,5
375,146,2,4
376,19,2,4
376,122,1,6
376,136,2,2
377,100,1,7
377,12,1,4
377,6,1,5
377,40,2,3
378,147,2,6
378,81,1,5
378,69,1,2
379,1,1,5
379,55,1,5
379,120,1,5
379,134,2,7
380,61,1,5
380,84,2,4
380,122,1,7
381,106,1,4
381,1,1,6
381,142,1,6
382,39,1,6
382,42,2,8
382,97,1,5
383,150,1,5
383,23,1,8
383,72,1,7
383,20,2,5
384,103,1,7
384,112,2,1
384,41,1,9
385,34,2,5
385,110,1,5
385,8,2,6
386,140,1,4
386,135,2,5
386,120,1,6
387,87,2,2
387,109,1,5
387,144,2,6
388,36,2,5
388,59,2,11
388,44,2,4
389,78,1,5
389,87,2,3
389,60,2,1
389,120,1,7
390,94,1,4
390,129,1,3
390,29,2,3
391,106,1,5
391,29,2,4
391,132,1,4
392,55,2,6
392,93,2,4
392,28,1,3
393,56,2,5
393,15,2,5
393,97,2,9
394,29,1,4
394,135,1,7
394,17,1,6
395,75,1,8
395,107,2,6
395,118,1,4
396,3,2,4
396,26,1,4
396,9,1,5
397,90,1,3
397,57,2,4
397,33,1,5
398,130,1,6
398,31,2,4
398,144,1,5
399,85,1,5
399,26,2,5
399,119,1,1
400,105,1,5
400,51,1,4
400,42,1,8
401,49,2,5
401,19,2,5
401,31,2,5
402,47,1,4
402,57,2,5
402,66,2,3
403,76,1,8
403,137,1,6
403,9,1,6
404,45,1,8
404,4,1,3
404,55,2,7
405,44,1,3
405,46,1,2
405,120,1,8
406,38,2,4
406,69,1,3
406,103,2,6
407,36,2,6
407,53,1,7
407,84,2,5
408,104,2,4
408,44,1,4
408,85,2,9
409,82,2,1
409,7,2,4
409,10,1,4
410,144,1,6
410,93,2,5
410,132,2,6
411,125,2,2
411,10,2,2
411,5,1,5
412,98,1,5
412,57,1,8
412,64,1,4
413,40,1,9
413,53,1,8
413,2,1,6
414,108,1,10
414,27,2,4
414,104,2,5
415,136,1,8
415,114,1,7
415,46,2,11
415,113,1,2
416,94,1,5
416,113,2,7
416,137,2,3
416,2,1,7
417,69,2,8
417,78,2,4
417,97,1,6
418,140,1,5
418,127,1,5
418,9,2,5
419,142,2,8
419,132,2,7
419,5,2,3
420,24,1,6
420,142,1,7
420,93,2,6
421,73,2,4
421,128,1,5
421,2,1,8
422,14,2,7
422,25,1,5
422,118,2,1
422,138,1,4
423,147,1,4
423,102,1,5
423,66,1,6
423,80,2,4
424,117,1,7
424,122,2,5
424,3,1,7
425,45,2,3
425,6,1,6
425,133,1,7
426,83,2,7
426,63,1,4
426,26,1,5
426,43,2,5
427,15,1,5
427,116,2,6
427,11,1,3
427,114,2,5
428,29,1,5
428,1,2,6
428,130,2,5
429,75,1,9
429,87,1,6
429,85,1,6
429,36,1,8
430,140,2,4
430,24,1,7
430,6,1,7
431,127,2,6
431,16,2,6
431,107,1,5
432,49,2,6
432,114,1,8
432,40,1,10
433,111,1,7
433,18,2,6
433,121,1,11
433,95,2,5
434,84,1,4
434,91,2,5
434,9,2,6
434,83,2,8
435,121,1,12
435,82,2,2
435,33,1,6
436,80,2,5
436,85,2,10
436,61,1,6
437,20,2,6
437,12,2,4
437,11,2,6
438,42,1,9
438,107,2,7
438,23,1,9
439,118,2,2
439,133,2,5
439,73,2,5
440,131,2,4
440,125,2,3
440,57,2,6
441,76,1,9
441,111,2,8
441,75,1,10
442,32,2,5
442,26,2,6
442,111,2,9
443,19,1,5
443,131,1,3
443,150,1,6
443,45,1,9
444,99,2,8
444,48,1,7
444,87,1,7
445,15,2,6
445,56,1,4
445,7,2,5
446,144,2,7
446,111,1,8
446,62,2,2
447,108,2,6
447,106,2,10
447,145,2,9
448,103,1,8
448,105,1,6
448,77,1,3
448,116,2,7
449,52,1,4
449,97,1,7
449,115,1,7
450,142,2,9
450,23,2,6
450,37,1,4
451,56,2,6
451,121,1,13
451,35,1,3
452,93,1,7
452,4,1,4
452,53,2,5
452,116,2,8
453,10,1,5
453,148,1,3
453,43,1,2
453,118,1,5
454,110,2,8
454,128,2,4
454,87,2,4
455,11,1,4
455,57,1,9
455,69,2,9
456,148,2,4
456,131,2,5
456,78,1,6
457,116,2,9
457,59,2,12
457,105,2,3
457,112,1,5
458,9,2,7
458,96,1,5
458,97,2,10
459,80,1,8
459,115,2,7
459,83,1,5
460,11,2,7
460,64,1,5
460,132,1,5
461,49,1,5
461,150,1,7
461,46,1,3
462,12,1,5
462,143,1,4
462,142,2,10
463,92,2,6
463,109,2,5
463,91,1,3
464,17,2,5
464,94,1,6
464,34,1,4
465,53,1,9
465,52,1,5
465,150,1,8
466,72,2,4
466,58,2,8
466,40,2,4
467,122,2,6
467,35,2,2
467,75,2,6
468,2,1,9
468,75,2,7
468,63,2,6
469,4,1,5
469,34,2,6
469,134,2,8
470,6,1,8
470,83,2,9
470,123,2,1
471,67,1,8
471,63,1,5
471,71,2,6
471,76,1,10
472,81,2,6
472,9,1,7
472,64,1,6
473,84,1,5
473,150,1,9
473,72,2,5
474,147,2,7
474,53,2,6
474,137,2,4
474,92,1,6
475,37,2,4
475,80,1,9
475,76,1,11
475,90,2,4
476,55,1,6
476,125,1,5
476,39,1,7
477,110,2,9
477,136,2,3
477,8,1,5
478,134,2,9
478,84,1,6
478,56,1,5
479,69,2,10
479,101,2,5
479,119,2,5
480,91,1,4
480,15,1,6
480,63,1,6
481,89,2,5
481,58,1,4
481,95,1,3
482,5,2,4
482,46,1,4
482,68,1,5
482,124,2,1
483,129,1,4
483,101,2,6
483,32,2,6
483,35,2,3
484,7,1,4
484,123,2,2
484,67,2,6
485,7,2,6
485,51,2,7
485,107,1,6
486,33,1,7
486,73,1,4
486,60,1,6
487,55,1,7
487,4,2,6
487,86,1,5
488,11,1,5
488,59,1,2
488,29,2,5
489,141,2,7
489,30,2,5
489,130,1,7
489,5,1,6
490,58,2,9
490,146,2,5
490,81,2,7
491,77,2,7
491,26,1,6
491,61,1,7
492,75,1,11
492,74,1,6
492,147,1,5
492,48,2,2
493,140,1,6
493,96,2,5
493,111,2,10
494,28,2,2
494,46,1,5
494,42,2,9
495,147,2,8
495,58,2,10
495,119,1,2
496,34,2,7
496,48,2,3
496,73,2,6
497,122,2,7
497,106,1,6
497,27,1,7
498,137,2,5
498,136,1,9
498,96,2,6
499,44,1,5
499,71,1,7
499,88,2,2
500,93,2,7
500,10,2,3
500,26,2,7
500,42,1,10
501,86,1,6
501,134,1,6
501,118,2,3
502,111,2,11
502,121,2,4
502,120,2,6
503,41,1,10
503,64,1,7
503,16,1,4
503,95,2,6
504,40,2,5
504,117,2,9
504,149,2,6
505,111,1,9
505,149,2,7
505,133,1,8
506,38,1,3
506,139,1,4
506,43,2,6
507,1,2,7
507,41,1,11
507,13,2,2
507,100,1,8
508,46,1,6
508,88,1,6
508,39,2,5
508,84,1,7
509,25,1,6
509,40,2,6
509,73,2,7
510,66,2,4
510,131,2,6
510,108,1,11
511,12,1,6
511,53,1,10
511,72,2,6
512,1,1,7
512,126,2,6
512,96,2,7
513,101,1,7
513,141,1,7
513,52,2,5
514,54,1,3
514,125,1,6
514,144,2,8
514,115,1,8
515,59,1,3
515,77,2,8
515,57,2,7
516,135,1,8
516,73,1,5
516,94,2,8
517,141,2,8
517,123,1,8
517,106,2,11
518,116,1,4
518,48,1,8
518,107,2,8
519,82,1,3
519,33,2,3
519,148,1,4
520,51,2,8
520,116,1,5
520,89,1,8
521,68,2,8
521,14,2,8
521,125,2,4
522,35,2,4
522,16,2,7
522,63,1,7
523,100,2,9
523,25,2,4
523,6,2,4
523,53,1,11
524,73,2,8
524,74,1,7
524,101,2,7
525,123,1,9
525,112,1,6
525,42,2,10
526,44,1,6
526,6,1,9
526,120,2,7
527,92,1,7
527,94,1,7
527,50,2,11
528,29,1,6
528,17,1,7
528,64,1,8
529,127,1,6
529,134,2,10
529,90,2,5
530,35,2,5
530,40,1,11
530,63,2,7
530,122,2,8
531,46,2,12
531,32,2,7
531,100,1,9
532,131,1,4
532,135,1,9
532,32,1,1
533,72,2,7
533,139,1,5
533,46,1,7
534,84,1,8
534,82,2,3
534,25,2,5
534,145,2,10
535,63,2,8
535,101,2,8
535,11,1,6
536,55,2,8
536,80,1,10
536,52,2,6
536,96,1,6
537,41,2,2
537,84,2,6
537,46,1,8
538,107,2,9
538,55,1,8
538,16,1,5
539,95,1,4
539,106,2,12
539,132,2,8
540,94,2,9
540,33,1,8
540,138,1,5
